duration,hour,day_of_year
27.0,0,163
29.0,17,219
27.0,9,226
63.0,4,230
5.0,19,289
19.0,0,28
8.0,1,40
10.0,17,44
6.0,17,45
12.0,1,46
7.0,1,47
16.0,9,49
12.0,7,55
14.0,12,59
46.0,13,66
29.0,19,66
5.0,2,67
21.0,3,67
9.0,10,67
10.0,23,68
25.0,6,158
4.0,2,211
31.0,13,215
16.0,3,216
17.0,7,221
15.0,1,249
8.0,22,249
6.0,22,250
14.0,15,251
32.0,10,265
19.0,9,267
47.0,12,267
7.0,20,267
19.0,4,268
11.0,20,307
21.0,3,23
60.0,17,27
35.0,3,65
22.0,0,67
9.0,1,67
31.0,3,69
69.0,14,70
12.0,17,70
12.0,17,70
80.0,16,73
7.0,4,131
77.0,0,138
108.0,11,165
103.0,12,166
9.0,10,184
8.0,9,186
5.0,11,187
7.0,23,188
9.0,16,190
72.0,15,194
312.0,12,199
101.0,4,201
12.0,20,210
38.0,0,231
58.0,19,244
21.0,23,271
9.0,18,294
13.0,18,296
4.0,3,297
14.0,2,313
6.0,1,318
5.0,12,325
20.0,15,326
67.0,5,74
21.0,6,101
8.0,17,123
24.0,1,133
25.0,15,133
11.0,1,134
23.0,1,135
68.0,12,142
17.0,22,158
44.0,2,172
8.0,0,295
31.0,14,295
5.0,21,295
8.0,0,297
8.0,7,298
11.0,14,298
3.0,19,299
4.0,19,299
22.0,1,301
9.0,4,301
6.0,21,302
7.0,19,305
4.0,22,309
6.0,4,312
6.0,5,314
12.0,10,323
7.0,7,363
15.0,21,365
12.0,18,1
9.0,2,2
6.0,22,2
9.0,12,3
14.0,21,3
9.0,10,4
59.0,18,4
40.0,22,4
4.0,3,7
6.0,10,7
30.0,18,7
8.0,3,8
3.0,21,13
6.0,6,14
16.0,1,27
8.0,2,27
7.0,4,28
6.0,7,28
4.0,11,28
-4.0,12,28
1.0,15,28
3.0,19,28
12.0,22,28
17.0,7,30
23.0,15,30
10.0,15,31
6.0,1,32
9.0,7,32
10.0,6,33
63.0,7,33
7.0,9,33
5.0,14,33
12.0,16,33
13.0,18,33
50.0,21,33
7.0,1,35
26.0,2,35
3.0,3,35
11.0,9,35
37.0,15,35
9.0,16,36
7.0,22,37
6.0,4,38
4.0,10,38
34.0,15,40
9.0,3,42
17.0,16,42
33.0,3,43
4.0,6,43
10.0,15,43
8.0,1,44
10.0,2,44
18.0,5,44
7.0,8,44
12.0,15,44
13.0,2,45
11.0,12,45
7.0,13,45
6.0,16,45
19.0,5,54
8.0,0,56
9.0,14,57
4.0,0,59
15.0,23,67
6.0,13,68
15.0,20,68
7.0,0,69
7.0,15,69
15.0,22,69
6.0,3,70
8.0,11,70
10.0,10,71
6.0,22,71
16.0,19,72
14.0,3,79
4.0,6,81
14.0,19,87
7.0,23,87
12.0,17,88
7.0,11,89
47.0,7,90
47.0,13,92
5.0,19,106
32.0,12,108
22.0,5,112
10.0,0,115
23.0,8,126
8.0,22,126
22.0,16,127
8.0,9,128
9.0,18,144
11.0,3,154
3.0,19,157
8.0,6,161
1.0,6,161
23.0,8,161
13.0,10,161
4.0,11,161
14.0,12,161
4.0,5,162
9.0,8,162
7.0,8,162
10.0,20,162
7.0,4,163
13.0,9,163
7.0,10,163
10.0,18,163
7.0,19,163
12.0,21,163
37.0,21,163
7.0,7,164
4.0,19,165
29.0,11,166
17.0,23,166
19.0,11,182
12.0,16,189
6.0,0,190
4.0,22,191
13.0,11,212
2.0,14,213
12.0,18,213
12.0,13,233
10.0,6,234
17.0,12,236
24.0,14,237
15.0,20,237
33.0,13,246
19.0,16,249
76.0,23,251
24.0,17,253
5.0,15,254
2.0,21,254
13.0,2,257
4.0,8,261
13.0,23,266
5.0,8,270
19.0,2,271
59.0,16,271
34.0,17,275
12.0,18,275
13.0,1,282
4.0,1,282
11.0,6,282
65.0,15,283
16.0,18,287
134.0,19,287
5.0,12,289
56.0,7,291
44.0,4,292
11.0,9,293
37.0,16,293
7.0,18,293
11.0,19,293
12.0,22,293
3.0,13,294
43.0,1,295
6.0,5,295
26.0,14,295
6.0,15,295
6.0,9,296
11.0,7,297
34.0,21,297
13.0,16,298
52.0,10,299
9.0,17,299
8.0,18,299
6.0,18,299
22.0,19,299
28.0,0,300
18.0,1,300
6.0,3,300
10.0,9,300
35.0,14,300
7.0,17,300
27.0,2,301
9.0,3,301
12.0,13,301
137.0,6,302
7.0,9,302
9.0,14,302
14.0,16,302
3.0,18,302
4.0,21,302
3.0,0,303
16.0,1,303
11.0,4,303
30.0,11,307
25.0,22,307
39.0,7,308
12.0,8,308
21.0,9,309
54.0,18,309
10.0,1,310
14.0,3,310
23.0,21,310
39.0,2,311
13.0,4,311
9.0,10,311
33.0,16,311
8.0,15,313
23.0,11,319
8.0,20,319
13.0,17,320
15.0,6,335
10.0,8,338
20.0,18,338
3.0,19,338
52.0,11,339
7.0,5,347
8.0,19,348
13.0,0,351
9.0,1,351
26.0,4,351
7.0,18,351
17.0,21,352
11.0,9,353
13.0,0,354
14.0,7,355
53.0,11,355
16.0,1,356
13.0,2,361
4.0,9,3
18.0,15,4
11.0,4,13
13.0,4,13
9.0,12,14
7.0,4,22
7.0,16,26
20.0,4,28
5.0,21,28
10.0,11,29
12.0,0,30
7.0,5,30
6.0,12,30
5.0,2,35
36.0,22,40
12.0,2,43
63.0,9,55
41.0,8,59
8.0,6,61
11.0,9,61
18.0,15,61
10.0,19,61
10.0,1,62
65.0,17,64
43.0,4,65
80.0,6,65
37.0,21,66
11.0,14,68
24.0,23,68
5.0,3,69
16.0,23,69
8.0,7,70
6.0,7,70
11.0,16,70
14.0,18,70
5.0,4,71
12.0,11,71
5.0,12,71
18.0,13,71
7.0,21,71
14.0,3,72
18.0,5,72
17.0,4,73
58.0,1,74
4.0,9,74
40.0,22,74
19.0,10,75
45.0,22,76
6.0,14,98
59.0,8,102
16.0,14,108
13.0,7,111
23.0,10,111
8.0,11,111
21.0,15,111
5.0,16,111
6.0,21,111
3.0,21,111
14.0,8,112
49.0,9,113
5.0,9,125
8.0,13,125
6.0,14,125
12.0,17,125
6.0,22,125
4.0,11,126
67.0,2,132
9.0,18,133
13.0,3,160
11.0,19,160
5.0,8,162
9.0,7,164
7.0,0,165
53.0,0,169
63.0,16,169
527060.0,6,171
40.0,1,172
30.0,2,172
6.0,9,172
10.0,18,172
44.0,17,173
15.0,15,175
14.0,8,176
9.0,17,180
4.0,12,184
20.0,8,187
8.0,20,187
78.0,9,200
22.0,5,232
22.0,1,233
14.0,9,233
84.0,19,233
10.0,6,234
6.0,13,234
5.0,21,234
7.0,7,236
6.0,17,236
56.0,4,239
12.0,13,240
7.0,18,240
89.0,2,242
7.0,21,254
8.0,4,263
31.0,17,263
20.0,10,270
6.0,20,270
10.0,3,271
7.0,7,271
17.0,13,271
5.0,14,271
5.0,3,272
2.0,3,272
5.0,4,272
11.0,5,272
4.0,5,272
3.0,5,272
3.0,6,272
4.0,6,272
9.0,8,272
4.0,9,272
6.0,11,272
4.0,19,272
10.0,10,273
2.0,13,273
7.0,13,274
5.0,0,275
5.0,12,275
8.0,17,275
5.0,2,277
4.0,23,288
5.0,6,289
14.0,20,290
7.0,20,290
87.0,2,295
22.0,1,302
4.0,17,304
26.0,18,307
5.0,3,308
13.0,8,308
7.0,11,308
22.0,13,308
23.0,12,313
11.0,7,335
29.0,8,350
11.0,0,355
10.0,10,355
19.0,3,356
32.0,13,356
17.0,0,357
23.0,1,358
85.0,11,362
21.0,10,363
61.0,23,1
14.0,11,28
7.0,18,35
45.0,20,42
10.0,10,43
6.0,15,44
6.0,19,45
19.0,10,46
7.0,4,48
11.0,6,76
94.0,12,100
15.0,0,109
7.0,7,189
6.0,0,192
5.0,0,203
14.0,1,203
25.0,1,205
16.0,5,205
4.0,5,205
11.0,6,206
13.0,17,206
7.0,14,220
8.0,0,222
4.0,17,334
9.0,23,334
27.0,16,345
3.0,7,21
5.0,11,86
25.0,17,86
26.0,19,91
13.0,21,91
3.0,2,92
14.0,7,92
6.0,12,92
20.0,18,92
5.0,20,92
11.0,0,93
8.0,14,93
12.0,9,108
55.0,19,108
6.0,17,153
38.0,15,184
9.0,3,190
4.0,20,194
62.0,1,195
15.0,19,196
7.0,2,227
91.0,12,227
27.0,21,231
16.0,1,232
18.0,15,245
13.0,5,247
19.0,15,247
17.0,18,247
51.0,18,247
3.0,19,247
18.0,20,247
4.0,22,247
4.0,1,248
9.0,3,248
20.0,4,248
6.0,6,248
6.0,17,248
13.0,8,249
9.0,11,249
5.0,15,249
10.0,19,249
6.0,23,249
2.0,5,250
4.0,9,250
4.0,10,250
16.0,14,250
8.0,23,250
5.0,2,251
4.0,3,251
9.0,7,251
38.0,15,251
11.0,23,251
14.0,4,252
13.0,10,252
110.0,22,252
30.0,2,253
31.0,15,253
6.0,7,255
17.0,19,255
3.0,2,269
11.0,0,270
18.0,23,293
6.0,20,35
80.0,0,43
7.0,7,89
8.0,17,148
9.0,13,26
14.0,5,30
11.0,3,67
43.0,10,79
4.0,3,80
6.0,5,126
36.0,7,150
19.0,16,325
30.0,18,325
37.0,12,334
46.0,15,342
28.0,14,349
18.0,12,68
23.0,23,109
25.0,4,112
13.0,1,115
21.0,18,127
19.0,13,129
5.0,6,142
23.0,15,142
8.0,17,142
6.0,21,142
7.0,9,143
8.0,11,143
5.0,17,143
54.0,22,148
24.0,6,174
19.0,2,176
15.0,13,176
17.0,2,184
13.0,7,184
11.0,14,184
4.0,16,184
8.0,5,185
25.0,7,190
19.0,10,190
10.0,17,190
39.0,23,204
30.0,17,238
7.0,23,238
32.0,5,240
27.0,23,250
14.0,4,260
22.0,4,266
5.0,15,266
4.0,11,269
40.0,5,271
19.0,6,282
34.0,22,283
7.0,2,299
5.0,9,299
15.0,15,299
6.0,21,300
6.0,7,301
9.0,10,301
18.0,15,301
20.0,2,302
13.0,6,304
48.0,0,305
33.0,17,305
39.0,20,305
48.0,2,306
4.0,2,306
21.0,20,307
75.0,15,313
32.0,4,338
30.0,15,338
38.0,23,338
21.0,6,339
10.0,1,349
10.0,3,350
-12.0,0,351
34.0,17,352
13.0,3,354
24.0,11,354
7.0,7,355
13.0,11,355
21.0,19,355
12.0,6,356
8.0,21,357
14.0,9,358
11.0,3,362
11.0,16,362
23.0,7,1
9.0,20,13
16.0,1,14
27.0,13,14
15.0,4,16
30.0,19,16
27.0,13,17
43.0,17,18
20.0,5,20
47.0,22,29
10.0,5,35
12.0,15,35
15.0,21,35
116.0,11,37
19.0,8,43
7.0,17,43
32.0,0,44
29.0,17,45
21.0,17,46
11.0,20,48
31.0,3,51
32.0,8,59
15.0,9,59
30.0,9,61
8.0,17,61
135.0,18,69
19.0,22,70
5.0,8,73
6.0,12,74
6.0,22,74
15.0,7,79
24.0,5,84
31.0,10,87
9.0,17,87
15.0,19,87
10.0,20,87
14.0,0,88
10.0,1,88
21.0,9,88
9.0,21,88
16.0,17,89
12.0,18,90
17.0,2,92
59.0,12,92
10.0,17,92
5.0,18,99
21.0,5,101
30.0,10,105
42.0,11,105
12.0,13,105
7.0,14,106
11.0,2,107
17.0,3,107
6.0,16,107
10.0,19,107
6.0,22,107
11.0,7,108
23.0,10,108
12.0,17,108
7.0,4,109
7.0,20,109
4.0,21,109
5.0,1,110
16.0,1,110
16.0,3,110
28.0,12,110
12.0,1,111
22.0,4,112
9.0,13,112
43.0,1,115
10.0,3,115
11.0,17,115
23.0,8,117
6.0,10,117
42.0,2,118
15.0,7,119
9.0,18,119
15.0,4,120
9.0,5,120
10.0,9,120
10.0,13,120
5.0,19,120
19.0,7,123
16.0,13,123
11.0,0,124
14.0,8,124
7.0,16,124
8.0,19,124
18.0,20,124
3.0,13,125
8.0,14,125
15.0,3,128
15.0,19,128
9.0,13,130
5.0,13,130
14.0,16,131
45.0,18,131
4.0,19,131
15.0,20,132
10.0,23,134
17.0,13,136
9.0,4,137
3.0,6,137
11.0,8,137
20.0,8,137
6.0,21,138
19.0,7,139
9.0,10,139
11.0,15,139
10.0,7,140
16.0,11,140
9.0,22,140
13.0,23,140
14.0,22,144
16.0,17,145
12.0,18,145
23.0,2,150
25.0,11,156
43.0,10,161
66.0,3,164
6.0,3,167
7.0,15,171
8.0,3,186
42.0,20,189
19.0,13,190
19.0,22,190
13.0,23,191
9.0,1,192
11.0,9,192
9.0,4,195
6.0,21,195
11.0,7,196
9.0,11,196
13.0,6,197
6.0,15,197
9.0,1,202
23.0,15,207
28.0,22,212
45.0,11,226
39.0,4,227
5.0,14,227
8.0,16,227
8.0,17,227
5.0,21,227
21.0,1,228
14.0,1,228
6.0,7,228
11.0,21,228
19.0,13,229
24.0,14,229
5.0,10,230
18.0,10,230
8.0,12,230
11.0,14,230
14.0,21,230
12.0,22,230
30.0,4,231
16.0,11,231
12.0,19,237
6.0,23,237
21.0,6,238
14.0,10,238
6.0,12,238
7.0,12,238
25.0,12,238
48.0,1,239
6.0,4,239
9.0,11,239
12.0,15,239
13.0,15,239
8.0,16,239
33.0,0,240
8.0,1,240
24.0,7,240
31.0,15,240
12.0,18,240
14.0,3,241
19.0,10,241
10.0,14,241
24.0,16,241
12.0,18,241
15.0,1,242
15.0,1,242
84.0,18,242
19.0,7,247
7.0,17,248
7.0,23,255
38.0,9,257
5.0,9,259
10.0,15,259
37.0,12,260
18.0,13,260
9.0,20,260
19.0,0,262
7.0,5,263
9.0,11,263
11.0,6,264
22.0,17,266
20.0,16,267
15.0,3,273
11.0,16,273
4.0,17,273
12.0,19,274
13.0,2,275
13.0,13,275
11.0,15,275
32.0,19,275
14.0,2,276
33.0,9,276
8.0,11,276
10.0,15,276
31.0,19,276
11.0,21,276
27.0,12,277
23.0,14,280
12.0,0,283
21.0,16,283
6.0,8,284
5.0,10,284
3.0,16,285
25.0,23,285
4.0,9,287
27.0,16,290
7.0,1,294
11.0,18,298
12.0,12,299
25.0,6,307
9.0,0,311
19.0,19,313
14.0,7,315
13.0,11,315
9.0,0,316
3.0,18,316
5.0,2,318
24.0,18,318
3.0,2,319
17.0,8,322
5.0,11,322
18.0,6,323
14.0,12,323
28.0,6,326
19.0,18,326
47.0,13,333
17.0,7,335
6.0,1,337
5.0,17,337
14.0,13,343
12.0,11,345
13.0,23,347
9.0,3,348
10.0,7,348
7.0,8,348
7.0,9,348
14.0,11,348
7.0,12,348
11.0,14,348
5.0,14,348
9.0,17,348
19.0,20,348
6.0,20,348
6.0,21,348
8.0,21,348
9.0,21,348
13.0,1,349
12.0,6,349
4.0,7,349
21.0,9,349
7.0,10,349
12.0,15,349
9.0,16,349
9.0,16,349
20.0,22,349
31.0,1,350
17.0,4,350
12.0,5,350
12.0,6,350
12.0,7,350
10.0,8,350
10.0,9,350
17.0,10,350
16.0,14,350
6.0,15,350
13.0,19,351
22.0,21,351
10.0,10,352
17.0,11,353
20.0,22,353
7.0,13,354
8.0,6,359
10.0,16,359
8.0,0,361
13.0,8,361
11.0,16,361
55.0,6,363
9.0,18,363
7.0,18,363
11.0,11,364
4.0,15,364
12.0,19,364
-1414.0,6,4
14.0,0,6
12.0,0,7
15.0,8,8
36.0,9,8
16.0,14,8
9.0,19,8
11.0,0,9
16.0,8,9
7.0,13,9
13.0,18,9
7.0,0,10
8.0,2,10
8.0,2,10
9.0,10,10
11.0,17,10
4.0,17,10
8.0,22,10
20.0,0,11
7.0,1,11
38.0,5,11
8.0,8,11
25.0,5,12
13.0,6,12
20.0,11,12
18.0,14,12
10.0,19,12
6.0,2,13
10.0,10,13
42.0,1,14
15.0,20,14
23.0,20,14
34.0,3,15
15.0,14,15
13.0,23,17
7.0,1,18
14.0,10,18
3.0,4,19
6.0,10,19
1.0,10,19
20.0,13,20
14.0,12,22
13.0,16,22
36.0,13,24
34.0,9,25
19.0,16,25
12.0,22,25
13.0,12,26
14.0,10,36
14.0,11,37
8.0,2,38
20.0,13,38
6.0,20,38
9.0,21,38
12.0,22,38
2.0,23,38
8.0,2,39
35.0,15,39
16.0,19,39
10.0,21,39
16.0,21,39
25.0,2,40
6.0,7,40
18.0,8,40
12.0,14,40
11.0,15,40
3.0,15,40
24.0,18,40
18.0,2,41
3.0,8,41
20.0,14,41
32.0,15,41
7.0,22,41
9.0,7,42
16.0,10,42
5.0,11,42
4.0,12,42
5.0,12,42
12.0,12,42
8.0,15,42
12.0,17,42
13.0,8,43
16.0,9,43
11.0,13,43
5.0,15,43
14.0,5,44
7.0,15,44
6.0,1,45
13.0,11,45
25.0,1,46
14.0,4,46
7.0,5,46
23.0,6,46
9.0,21,46
13.0,0,47
43.0,10,47
37.0,20,47
38.0,19,48
11.0,14,51
6.0,11,52
9.0,11,52
20.0,19,52
21.0,4,53
14.0,13,53
3.0,6,54
16.0,8,54
10.0,8,54
4.0,17,55
27.0,20,55
5.0,15,56
64.0,18,56
15.0,17,59
11.0,0,60
11.0,4,61
11.0,21,61
22.0,10,62
10.0,17,62
4.0,7,63
8.0,13,63
38.0,15,63
12.0,2,64
17.0,16,64
8.0,16,64
7.0,21,64
20.0,2,65
15.0,8,65
26.0,17,65
19.0,9,67
14.0,16,67
9.0,22,67
10.0,23,68
21.0,13,69
19.0,11,73
14.0,6,76
3.0,15,76
29.0,1,79
79.0,14,79
24.0,4,85
15.0,2,88
20.0,13,88
12.0,23,88
13.0,7,89
39.0,2,91
17.0,5,96
8.0,1,98
10.0,5,100
25.0,9,101
8.0,16,104
9.0,23,104
12.0,6,107
28.0,17,111
21.0,2,117
10.0,11,117
7.0,2,120
32.0,19,120
26.0,0,121
14.0,2,121
7.0,13,121
13.0,22,121
12.0,9,123
11.0,10,123
9.0,10,123
11.0,12,123
7.0,13,123
39.0,8,124
14.0,6,125
31.0,7,125
13.0,15,125
54.0,21,127
30.0,22,127
14.0,20,128
12.0,3,129
18.0,5,129
16.0,7,129
10.0,9,129
20.0,10,129
12.0,11,129
38.0,18,129
20.0,20,129
10.0,14,130
14.0,8,131
16.0,18,131
52.0,23,132
12.0,16,136
13.0,6,138
7.0,6,138
15.0,11,138
13.0,12,138
10.0,12,138
19.0,17,138
11.0,20,138
14.0,20,138
7.0,0,139
7.0,3,139
11.0,4,139
26.0,19,139
12.0,20,139
13.0,6,140
16.0,7,140
9.0,9,140
6.0,10,140
10.0,12,140
6.0,14,140
6.0,18,140
14.0,22,140
2.0,23,140
15.0,15,141
7.0,13,142
6.0,12,143
7.0,9,144
17.0,17,144
9.0,14,145
15.0,22,146
12.0,19,147
15.0,10,148
16.0,7,150
7.0,10,150
2.0,13,150
14.0,4,151
3.0,12,151
21.0,21,151
38.0,22,151
21.0,0,152
9.0,2,153
29.0,6,158
28.0,11,158
10.0,18,158
23.0,16,160
22.0,12,166
9.0,5,167
18.0,10,167
7.0,19,167
6.0,0,169
28.0,13,169
13.0,3,170
8.0,12,170
4.0,11,171
8.0,11,171
4.0,15,171
6.0,16,171
27.0,16,171
13.0,12,172
7.0,15,172
24.0,10,173
15.0,23,173
6.0,12,175
14.0,16,177
17.0,14,178
6.0,15,178
18.0,8,179
15.0,14,180
16.0,22,182
6.0,2,183
20.0,22,183
10.0,6,184
10.0,21,184
15.0,12,185
22.0,18,186
19.0,5,187
17.0,10,187
12.0,6,188
26.0,3,191
12.0,22,191
16.0,14,192
10.0,16,192
2.0,16,192
17.0,17,192
9.0,19,192
11.0,22,192
3.0,23,192
10.0,0,193
14.0,4,193
4.0,5,193
6.0,8,193
25.0,18,194
14.0,9,195
17.0,18,195
20.0,7,196
10.0,9,196
5.0,10,196
11.0,19,196
10.0,8,197
10.0,8,197
11.0,14,197
10.0,17,197
13.0,22,198
15.0,23,198
29.0,23,198
11.0,6,199
16.0,19,199
5.0,20,199
11.0,20,199
8.0,10,200
21.0,17,200
25.0,3,203
4.0,4,203
10.0,14,204
27.0,1,206
8.0,21,206
7.0,4,207
20.0,10,207
9.0,15,207
3.0,16,207
7.0,9,208
30.0,22,208
19.0,15,209
39.0,6,210
13.0,16,210
13.0,8,211
4.0,8,211
18.0,8,212
18.0,1,213
5.0,1,213
20.0,4,213
7.0,5,213
29.0,6,213
6.0,9,213
6.0,14,213
20.0,19,213
12.0,21,213
9.0,8,214
